SCORECARD_POINTS,period,aid
2.0922074,197501,css1975010100098
-0.23413095,197501,css1975010100120
-2.2409303,197501,css1975010200014
-1.1633687,197501,css1975010200047
-1.1877816,197501,css1975010200151
0.74894446,197501,css1975010300138
-1.2598329,197501,css1975010300153
-0.10625592,197501,css1975010400093
-0.31212932,197501,css1975010400154
1.8151202,197501,css1975010500077
-0.45071515,197501,css1975010500090
-0.60233706,197501,css1975010500094
-0.2824128,197501,css1975010500134
-0.2805328,197501,css1975010500142
-2.6648123,197501,css1975010600056
1.7982056,197501,css1975010600144
0.29356307,197501,css1975010600152
-0.96864396,197501,css1975010600155
-0.7165773,197501,css1975010700004
0.115717724,197501,css1975010800017
-0.51254374,197501,css1975010800024
-0.4120814,197501,css1975010800036
2.291419,197501,css1975010800080
-1.259995,197501,css1975010800099
-1.1230778,197501,css1975010800105
-0.6838479,197501,css1975010800145
2.2212334,197501,css1975010900062
-0.08136021,197501,css1975011000030
1.8652471,197501,css1975011000107
-1.1656989,197501,css1975011000129
-0.21985322,197501,css1975011000156
0.44742674,197501,css1975011100022
0.07703964,197501,css1975011100037
3.0284388,197501,css1975011100147
1.3152957,197501,css1975011200050
-0.28287494,197501,css1975011200055
-0.001684296,197501,css1975011200084
-0.50654477,197501,css1975011200100
1.3527728,197501,css1975011300025
-1.4763875,197501,css1975011300149
-1.2721158,197501,css1975011300158
-1.2371811,197501,css1975011400008
1.365282,197501,css1975011400086
2.0007467,197501,css1975011400127
-1.6585406,197501,css1975011500057
-0.45821193,197501,css1975011500089
0.68339276,197501,css1975011500117
-0.22132474,197501,css1975011500132
1.6690608,197501,css1975011600028
-0.8240668,197501,css1975011600072
-1.9143286,197501,css1975011600133
1.0879892,197501,css1975011700114
3.0747836,197501,css1975011700136
-0.2791224,197501,css1975011700137
0.0056602685,197501,css1975011700139
0.51869583,197501,css1975011700143
-0.79295295,197501,css1975011700146
0.47218925,197501,css1975011700159
-1.082046,197501,css1975011800018
1.2488189,197501,css1975011800021
0.9049832,197501,css1975011800141
3.3234034,197501,css1975011900031
-1.8649038,197501,css1975011900064
1.1915246,197501,css1975011900076
-0.1304816,197501,css1975011900128
0.5333951,197501,css1975011900157
1.158536,197501,css1975012000087
0.76567686,197501,css1975012000108
-0.1582503,197501,css1975012000112
1.971281,197501,css1975012000118
-1.2287824,197501,css1975012200102
1.7927454,197501,css1975012200121
0.55227304,197501,css1975012200150
-0.14261663,197501,css1975012300042
-2.028422,197501,css1975012400005
-0.33286995,197501,css1975012400085
0.8893301,197501,css1975012400088
3.523931,197501,css1975012500034
-0.71058136,197501,css1975012500067
-0.8347323,197501,css1975012600006
2.7620597,197502,css1975020100098
3.3223586,197502,css1975020100120
-0.29369757,197502,css1975020100123
-0.5443367,197502,css1975020200009
-0.9231861,197502,css1975020200060
1.059023,197502,css1975020200074
2.59447,197502,css1975020200135
-0.49489036,197502,css1975020300069
-0.9177469,197502,css1975020300138
0.7293906,197502,css1975020300153
-0.08934172,197502,css1975020400054
2.1501455,197502,css1975020400093
-0.3229769,197502,css1975020400119
2.2329063,197502,css1975020500040
-1.4654567,197502,css1975020500077
-1.6496513,197502,css1975020500134
1.9832896,197502,css1975020500142
-0.18336903,197502,css1975020600056
-0.1769281,197502,css1975020600130
-0.61636084,197502,css1975020600144
-0.2349366,197502,css1975020600152
2.155275,197502,css1975020800080
0.64558405,197502,css1975020800099
0.7244538,197502,css1975020800105
-0.72850287,197502,css1975020900062
-0.6714115,197502,css1975021000113
-0.75310373,197502,css1975021000126
-1.2923453,197502,css1975021000156
-3.0481098,197502,css1975021100037
-0.42777783,197502,css1975021100053
2.5972986,197502,css1975021200055
-1.2837319,197502,css1975021200100
-1.418411,197502,css1975021300158
1.009198,197502,css1975021400049
-1.2765018,197502,css1975021500057
-0.103617,197502,css1975021500109
-0.5950054,197502,css1975021500111
1.9865048,197502,css1975021500115
-0.15274017,197502,css1975021500117
2.4031248,197502,css1975021500132
0.09438833,197502,css1975021600029
3.291102,197502,css1975021600133
-2.5667696,197502,css1975021700027
-0.0016525909,197502,css1975021700096
0.23363242,197502,css1975021700139
-0.52360684,197502,css1975021700143
0.1412602,197502,css1975021700146
0.8502795,197502,css1975021700159
0.71635365,197502,css1975021800021
3.5353258,197502,css1975021800039
1.9762033,197502,css1975021800141
-0.22116387,197502,css1975021800148
3.1591923,197502,css1975021900064
-0.13997969,197502,css1975021900076
0.99448013,197502,css1975021900128
0.53418946,197502,css1975021900157
1.2378672,197502,css1975022000058
1.8276364,197502,css1975022000112
1.1438032,197502,css1975022300116
0.6768649,197502,css1975022400085
-1.8532245,197502,css1975022500015
2.2409713,197502,css1975022500067
1.2341636,197503,css1975030100063
1.5203507,197503,css1975030100123
-1.3735735,197503,css1975030200009
-0.49919906,197503,css1975030200047
-0.03170173,197503,css1975030200060
1.2717123,197503,css1975030200135
1.7704484,197503,css1975030200151
0.011018626,197503,css1975030300138
-0.9310885,197503,css1975030300153
